数据集名称,数据集路径,数据集所属组别,负责人,任务大类,任务子类,建议新增任务类别,检索关键词,数据类型,标注类型,数据标注格式,数据集封面(1:1格式),【建议填】数据集来源,【建议填】数据集来源占比,【建议填】标注方式,【建议填】标注方式占比,【建议填】拍摄设备,【建议填】数据集应用产品,信息录入完毕通知按钮
CocoDet_Hand_20211015_val,/media/3_sdc/datasets/Insta360Det/CocoDet_Hand_20211015_val,AI_Group_1,罗佩瑶,Computer Vision,"Object, Detection",,hand,Image,BBox,COCO,,Insta360 Product Shooting,100,Annotated-by-R&D,100,unknown,"ONER, GO, Link",发送通知
CocoDet_Hand_20211103_cornercase,/media/3_sdc/datasets/Insta360Det/CocoDet_Hand_20211103_cornercase,AI_Group_1,罗佩瑶,Computer Vision,"Object, Detection",,hand,Image,BBox,COCO,,Insta360 Product Shooting,100,Annotated-by-R&D,100,unknown,"ONER, GO, Link",发送通知
CocoDet_Hand_20220107_plusL,/media/3_sdc/datasets/Insta360Det/CocoDet_Hand_20220107_plusL,AI_Group_1,罗佩瑶,Computer Vision,"Object, Detection",,hand,Image,BBox,COCO,,Insta360 Product Shooting,100,Annotated-by-R&D,100,unknown,"X4(DLC4), GO3S(TC2), Ace(IAC1), AcePro(IAC2)",发送通知
CocoDet_Hand_20220224_cornercase,/media/3_sdc/datasets/Insta360Det/CocoDet_Hand_20220224_cornercase,AI_Group_1,罗佩瑶,Computer Vision,"Object, Detection",,hand,Image,BBox,COCO,,Insta360 Product Shooting,100,Annotated-by-R&D,100,unknown,"X4(DLC4), GO3S(TC2), Ace(IAC1), AcePro(IAC2)",发送通知
CocoDet_Hand_20220309_bg,/media/3_sdc/datasets/Insta360Det/CocoDet_Hand_20220309_bg,AI_Group_1,罗佩瑶,Computer Vision,"Object, Detection",,hand,Image,BBox,COCO,,Insta360 Product Shooting,100,Annotated-by-R&D,100,unknown,"X4(DLC4), GO3S(TC2), Ace(IAC1), AcePro(IAC2)",发送通知
CocoDet_Hand_20220329_plus,/media/3_sdc/datasets/Insta360Det/CocoDet_Hand_20220329_plus,AI_Group_1,罗佩瑶,Computer Vision,"Object, Detection",,hand,Image,BBox,COCO,,Insta360 Product Shooting,100,Annotated-by-R&D,100,unknown,"X4(DLC4), GO3S(TC2), Ace(IAC1), AcePro(IAC2)",发送通知
CocoDet_Hand_20220429_black_person,/media/3_sdc/datasets/Insta360Det/CocoDet_Hand_20220429_black_person,AI_Group_1,罗佩瑶,Computer Vision,"Object, Detection",,hand,Image,BBox,COCO,,unknown,100,unknown,100,unknown,"X4(DLC4), GO3S(TC2), Ace(IAC1), AcePro(IAC2)",发送通知
CocoDet_Hand_20220429_white_person,/media/3_sdc/datasets/Insta360Det/CocoDet_Hand_20220429_white_person,AI_Group_1,罗佩瑶,Computer Vision,"Object, Detection",,hand,Image,BBox,COCO,,unknown,100,unknown,100,unknown,"X4(DLC4), GO3S(TC2), Ace(IAC1), AcePro(IAC2)",发送通知
CocoDet_Hand_20220429_white_person_bookshelf,/media/3_sdc/datasets/Insta360Det/CocoDet_Hand_20220429_white_person_bookshelf,AI_Group_1,罗佩瑶,Computer Vision,"Object, Detection",,hand,Image,BBox,COCO,,unknown,100,unknown,100,unknown,"X4(DLC4), GO3S(TC2), Ace(IAC1), AcePro(IAC2)",发送通知
CocoDet_Hand_20220525_whiteboard_val,/media/3_sdc/datasets/Insta360Det/CocoDet_Hand_20220525_whiteboard_val,AI_Group_1,罗佩瑶,Computer Vision,"Object, Detection",,hand,Image,BBox,COCO,,unknown,100,unknown,100,unknown,"X4(DLC4), GO3S(TC2), Ace(IAC1), AcePro(IAC2)",发送通知
CocoDet_Hand_20220526_blackperson,/media/3_sdc/datasets/Insta360Det/CocoDet_Hand_20220526_blackperson,AI_Group_1,罗佩瑶,Computer Vision,"Object, Detection",,hand,Image,BBox,COCO,,unknown,100,unknown,100,unknown,"X4(DLC4), GO3S(TC2), Ace(IAC1), AcePro(IAC2)",发送通知
CocoDet_Hand_20220526_whiteperson,/media/3_sdc/datasets/Insta360Det/CocoDet_Hand_20220526_whiteperson,AI_Group_1,罗佩瑶,Computer Vision,"Object, Detection",,hand,Image,BBox,COCO,,unknown,100,unknown,100,unknown,"X4(DLC4), GO3S(TC2), Ace(IAC1), AcePro(IAC2)",发送通知
CocoDet_Hand_20220601_bg,/media/3_sdc/datasets/Insta360Det/CocoDet_Hand_20220601_bg,AI_Group_1,罗佩瑶,Computer Vision,"Object, Detection",,hand,Image,BBox,COCO,,unknown,100,unknown,100,unknown,"X4(DLC4), GO3S(TC2), Ace(IAC1), AcePro(IAC2)",发送通知
CocoDet_Hand_20220602_davisvos_person,/media/3_sdc/datasets/Insta360Det/CocoDet_Hand_20220602_davisvos_person,AI_Group_1,罗佩瑶,Computer Vision,"Object, Detection",,hand,Image,BBox,COCO,,unknown,100,unknown,100,unknown,"X4(DLC4), GO3S(TC2), Ace(IAC1), AcePro(IAC2)",发送通知
CocoDet_Hand_20220606_davisvos_person,/media/3_sdc/datasets/Insta360Det/CocoDet_Hand_20220606_davisvos_person,AI_Group_1,罗佩瑶,Computer Vision,"Object, Detection",,hand,Image,BBox,COCO,,unknown,100,unknown,100,unknown,"X4(DLC4), GO3S(TC2), Ace(IAC1), AcePro(IAC2)",发送通知
CocoDet_Hand_20220606_five_in_one,/media/3_sdc/datasets/Insta360Det/CocoDet_Hand_20220606_five_in_one,AI_Group_1,罗佩瑶,Computer Vision,"Object, Detection",,hand,Image,BBox,COCO,,unknown,100,unknown,100,unknown,"X4(DLC4), GO3S(TC2), Ace(IAC1), AcePro(IAC2)",发送通知
CocoDet_Hand_20220608_pink_clothes_with_hand,/media/3_sdc/datasets/Insta360Det/CocoDet_Hand_20220608_pink_clothes_with_hand,AI_Group_1,罗佩瑶,Computer Vision,"Object, Detection",,hand,Image,BBox,COCO,,unknown,100,unknown,100,unknown,"X4(DLC4), GO3S(TC2), Ace(IAC1), AcePro(IAC2)",发送通知
CocoDet_Hand_20220608_pink_clothes_without_hand,/media/3_sdc/datasets/Insta360Det/CocoDet_Hand_20220608_pink_clothes_without_hand,AI_Group_1,罗佩瑶,Computer Vision,"Object, Detection",,hand,Image,BBox,COCO,,unknown,100,unknown,100,unknown,"X4(DLC4), GO3S(TC2), Ace(IAC1), AcePro(IAC2)",发送通知
CocoDet_Hand_20220608_yandex_complexbg,/media/3_sdc/datasets/Insta360Det/CocoDet_Hand_20220608_yandex_complexbg,AI_Group_1,罗佩瑶,Computer Vision,"Object, Detection",,hand,Image,BBox,COCO,,WebCrawler,100,Annotated-by-R&D,100,unknown,"X4(DLC4), GO3S(TC2), Ace(IAC1), AcePro(IAC2)",发送通知
CocoDet_Hand_20220609_brown_clothes_with_hand,/media/3_sdc/datasets/Insta360Det/CocoDet_Hand_20220609_brown_clothes_with_hand,AI_Group_1,罗佩瑶,Computer Vision,"Object, Detection",,hand,Image,BBox,COCO,,unknown,100,unknown,100,unknown,"X4(DLC4), GO3S(TC2), Ace(IAC1), AcePro(IAC2)",发送通知
CocoDet_Hand_20220609_brown_clothes_without_hand,/media/3_sdc/datasets/Insta360Det/CocoDet_Hand_20220609_brown_clothes_without_hand,AI_Group_1,罗佩瑶,Computer Vision,"Object, Detection",,hand,Image,BBox,COCO,,unknown,100,unknown,100,unknown,"X4(DLC4), GO3S(TC2), Ace(IAC1), AcePro(IAC2)",发送通知
CocoDet_Hand_20220609_closet_without_hand,/media/3_sdc/datasets/Insta360Det/CocoDet_Hand_20220609_closet_without_hand,AI_Group_1,罗佩瑶,Computer Vision,"Object, Detection",,hand,Image,BBox,COCO,,unknown,100,unknown,100,unknown,"X4(DLC4), GO3S(TC2), Ace(IAC1), AcePro(IAC2)",发送通知
CocoDet_Hand_20220609_cropimg_for_test,/media/3_sdc/datasets/Insta360Det/CocoDet_Hand_20220609_cropimg_for_test,AI_Group_1,罗佩瑶,Computer Vision,"Object, Detection",,hand,Image,BBox,COCO,,unknown,100,unknown,100,unknown,"X4(DLC4), GO3S(TC2), Ace(IAC1), AcePro(IAC2)",发送通知
CocoDet_Hand_20220609_segfg_merge_brown_part1_1,/media/3_sdc/datasets/Insta360Det/CocoDet_Hand_20220609_segfg_merge_brown_part1_1,AI_Group_1,罗佩瑶,Computer Vision,"Object, Detection",,hand,Image,BBox,COCO,,unknown,100,unknown,100,unknown,"X4(DLC4), GO3S(TC2), Ace(IAC1), AcePro(IAC2)",发送通知
CocoDet_Hand_20220609_segfg_merge_brown_part1_2,/media/3_sdc/datasets/Insta360Det/CocoDet_Hand_20220609_segfg_merge_brown_part1_2,AI_Group_1,罗佩瑶,Computer Vision,"Object, Detection",,hand,Image,BBox,COCO,,unknown,100,unknown,100,unknown,"X4(DLC4), GO3S(TC2), Ace(IAC1), AcePro(IAC2)",发送通知
CocoDet_Hand_20220609_segfg_merge_brown_part2_1,/media/3_sdc/datasets/Insta360Det/CocoDet_Hand_20220609_segfg_merge_brown_part2_1,AI_Group_1,罗佩瑶,Computer Vision,"Object, Detection",,hand,Image,BBox,COCO,,unknown,100,unknown,100,unknown,"X4(DLC4), GO3S(TC2), Ace(IAC1), AcePro(IAC2)",发送通知
CocoDet_Hand_20220609_segfg_merge_brown_part2_2,/media/3_sdc/datasets/Insta360Det/CocoDet_Hand_20220609_segfg_merge_brown_part2_2,AI_Group_1,罗佩瑶,Computer Vision,"Object, Detection",,hand,Image,BBox,COCO,,unknown,100,unknown,100,unknown,"X4(DLC4), GO3S(TC2), Ace(IAC1), AcePro(IAC2)",发送通知
CocoDet_Hand_20220609_segfg_merge_brown_part3_1,/media/3_sdc/datasets/Insta360Det/CocoDet_Hand_20220609_segfg_merge_brown_part3_1,AI_Group_1,罗佩瑶,Computer Vision,"Object, Detection",,hand,Image,BBox,COCO,,unknown,100,unknown,100,unknown,"X4(DLC4), GO3S(TC2), Ace(IAC1), AcePro(IAC2)",发送通知
CocoDet_Hand_20220609_segfg_merge_brown_part3_2,/media/3_sdc/datasets/Insta360Det/CocoDet_Hand_20220609_segfg_merge_brown_part3_2,AI_Group_1,罗佩瑶,Computer Vision,"Object, Detection",,hand,Image,BBox,COCO,,unknown,100,unknown,100,unknown,"X4(DLC4), GO3S(TC2), Ace(IAC1), AcePro(IAC2)",发送通知
CocoDet_Hand_20220609_segfg_merge_closet_part1_1,/media/3_sdc/datasets/Insta360Det/CocoDet_Hand_20220609_segfg_merge_closet_part1_1,AI_Group_1,罗佩瑶,Computer Vision,"Object, Detection",,hand,Image,BBox,COCO,,unknown,100,unknown,100,unknown,"X4(DLC4), GO3S(TC2), Ace(IAC1), AcePro(IAC2)",发送通知
CocoDet_Hand_20220609_segfg_merge_closet_part1_2,/media/3_sdc/datasets/Insta360Det/CocoDet_Hand_20220609_segfg_merge_closet_part1_2,AI_Group_1,罗佩瑶,Computer Vision,"Object, Detection",,hand,Image,BBox,COCO,,unknown,100,unknown,100,unknown,"X4(DLC4), GO3S(TC2), Ace(IAC1), AcePro(IAC2)",发送通知
CocoDet_Hand_20220609_segfg_merge_closet_part2_1,/media/3_sdc/datasets/Insta360Det/CocoDet_Hand_20220609_segfg_merge_closet_part2_1,AI_Group_1,罗佩瑶,Computer Vision,"Object, Detection",,hand,Image,BBox,COCO,,unknown,100,unknown,100,unknown,"X4(DLC4), GO3S(TC2), Ace(IAC1), AcePro(IAC2)",发送通知
CocoDet_Hand_20220609_segfg_merge_closet_part2_2,/media/3_sdc/datasets/Insta360Det/CocoDet_Hand_20220609_segfg_merge_closet_part2_2,AI_Group_1,罗佩瑶,Computer Vision,"Object, Detection",,hand,Image,BBox,COCO,,unknown,100,unknown,100,unknown,"X4(DLC4), GO3S(TC2), Ace(IAC1), AcePro(IAC2)",发送通知
CocoDet_Hand_20220609_segfg_merge_closet_part3_1,/media/3_sdc/datasets/Insta360Det/CocoDet_Hand_20220609_segfg_merge_closet_part3_1,AI_Group_1,罗佩瑶,Computer Vision,"Object, Detection",,hand,Image,BBox,COCO,,unknown,100,unknown,100,unknown,"X4(DLC4), GO3S(TC2), Ace(IAC1), AcePro(IAC2)",发送通知
CocoDet_Hand_20220609_segfg_merge_closet_part3_2,/media/3_sdc/datasets/Insta360Det/CocoDet_Hand_20220609_segfg_merge_closet_part3_2,AI_Group_1,罗佩瑶,Computer Vision,"Object, Detection",,hand,Image,BBox,COCO,,unknown,100,unknown,100,unknown,"X4(DLC4), GO3S(TC2), Ace(IAC1), AcePro(IAC2)",发送通知
CocoDet_Hand_20220609_segfg_merge_complexbg_part1_1,/media/3_sdc/datasets/Insta360Det/CocoDet_Hand_20220609_segfg_merge_complexbg_part1_1,AI_Group_1,罗佩瑶,Computer Vision,"Object, Detection",,hand,Image,BBox,COCO,,unknown,100,unknown,100,unknown,"X4(DLC4), GO3S(TC2), Ace(IAC1), AcePro(IAC2)",发送通知
CocoDet_Hand_20220609_segfg_merge_complexbg_part1_2,/media/3_sdc/datasets/Insta360Det/CocoDet_Hand_20220609_segfg_merge_complexbg_part1_2,AI_Group_1,罗佩瑶,Computer Vision,"Object, Detection",,hand,Image,BBox,COCO,,unknown,100,unknown,100,unknown,"X4(DLC4), GO3S(TC2), Ace(IAC1), AcePro(IAC2)",发送通知
CocoDet_Hand_20220609_segfg_merge_complexbg_part2_1,/media/3_sdc/datasets/Insta360Det/CocoDet_Hand_20220609_segfg_merge_complexbg_part2_1,AI_Group_1,罗佩瑶,Computer Vision,"Object, Detection",,hand,Image,BBox,COCO,,unknown,100,unknown,100,unknown,"X4(DLC4), GO3S(TC2), Ace(IAC1), AcePro(IAC2)",发送通知
CocoDet_Hand_20220609_segfg_merge_complexbg_part2_2,/media/3_sdc/datasets/Insta360Det/CocoDet_Hand_20220609_segfg_merge_complexbg_part2_2,AI_Group_1,罗佩瑶,Computer Vision,"Object, Detection",,hand,Image,BBox,COCO,,unknown,100,unknown,100,unknown,"X4(DLC4), GO3S(TC2), Ace(IAC1), AcePro(IAC2)",发送通知
CocoDet_Hand_20220609_segfg_merge_complexbg_part3_1,/media/3_sdc/datasets/Insta360Det/CocoDet_Hand_20220609_segfg_merge_complexbg_part3_1,AI_Group_1,罗佩瑶,Computer Vision,"Object, Detection",,hand,Image,BBox,COCO,,unknown,100,unknown,100,unknown,"X4(DLC4), GO3S(TC2), Ace(IAC1), AcePro(IAC2)",发送通知
CocoDet_Hand_20220609_segfg_merge_complexbg_part3_2,/media/3_sdc/datasets/Insta360Det/CocoDet_Hand_20220609_segfg_merge_complexbg_part3_2,AI_Group_1,罗佩瑶,Computer Vision,"Object, Detection",,hand,Image,BBox,COCO,,unknown,100,unknown,100,unknown,"X4(DLC4), GO3S(TC2), Ace(IAC1), AcePro(IAC2)",发送通知
CocoDet_Hand_20220609_segfg_merge_pink_part1_1,/media/3_sdc/datasets/Insta360Det/CocoDet_Hand_20220609_segfg_merge_pink_part1_1,AI_Group_1,罗佩瑶,Computer Vision,"Object, Detection",,hand,Image,BBox,COCO,,unknown,100,unknown,100,unknown,"X4(DLC4), GO3S(TC2), Ace(IAC1), AcePro(IAC2)",发送通知
CocoDet_Hand_20220609_segfg_merge_pink_part1_2,/media/3_sdc/datasets/Insta360Det/CocoDet_Hand_20220609_segfg_merge_pink_part1_2,AI_Group_1,罗佩瑶,Computer Vision,"Object, Detection",,hand,Image,BBox,COCO,,unknown,100,unknown,100,unknown,"X4(DLC4), GO3S(TC2), Ace(IAC1), AcePro(IAC2)",发送通知
CocoDet_Hand_20220609_segfg_merge_pink_part2_1,/media/3_sdc/datasets/Insta360Det/CocoDet_Hand_20220609_segfg_merge_pink_part2_1,AI_Group_1,罗佩瑶,Computer Vision,"Object, Detection",,hand,Image,BBox,COCO,,unknown,100,unknown,100,unknown,"X4(DLC4), GO3S(TC2), Ace(IAC1), AcePro(IAC2)",发送通知
CocoDet_Hand_20220609_segfg_merge_pink_part2_2,/media/3_sdc/datasets/Insta360Det/CocoDet_Hand_20220609_segfg_merge_pink_part2_2,AI_Group_1,罗佩瑶,Computer Vision,"Object, Detection",,hand,Image,BBox,COCO,,unknown,100,unknown,100,unknown,"X4(DLC4), GO3S(TC2), Ace(IAC1), AcePro(IAC2)",发送通知
CocoDet_Hand_20220609_segfg_merge_pink_part3_1,/media/3_sdc/datasets/Insta360Det/CocoDet_Hand_20220609_segfg_merge_pink_part3_1,AI_Group_1,罗佩瑶,Computer Vision,"Object, Detection",,hand,Image,BBox,COCO,,unknown,100,unknown,100,unknown,"X4(DLC4), GO3S(TC2), Ace(IAC1), AcePro(IAC2)",发送通知
CocoDet_Hand_20220609_segfg_merge_pink_part3_2,/media/3_sdc/datasets/Insta360Det/CocoDet_Hand_20220609_segfg_merge_pink_part3_2,AI_Group_1,罗佩瑶,Computer Vision,"Object, Detection",,hand,Image,BBox,COCO,,unknown,100,unknown,100,unknown,"X4(DLC4), GO3S(TC2), Ace(IAC1), AcePro(IAC2)",发送通知
CocoDet_Hand_20220609_segfg_merge_red_part1_1,/media/3_sdc/datasets/Insta360Det/CocoDet_Hand_20220609_segfg_merge_red_part1_1,AI_Group_1,罗佩瑶,Computer Vision,"Object, Detection",,hand,Image,BBox,COCO,,unknown,100,unknown,100,unknown,"X4(DLC4), GO3S(TC2), Ace(IAC1), AcePro(IAC2)",发送通知
CocoDet_Hand_20220609_segfg_merge_red_part1_2,/media/3_sdc/datasets/Insta360Det/CocoDet_Hand_20220609_segfg_merge_red_part1_2,AI_Group_1,罗佩瑶,Computer Vision,"Object, Detection",,hand,Image,BBox,COCO,,unknown,100,unknown,100,unknown,"X4(DLC4), GO3S(TC2), Ace(IAC1), AcePro(IAC2)",发送通知
CocoDet_Hand_20220609_segfg_merge_red_part2_1,/media/3_sdc/datasets/Insta360Det/CocoDet_Hand_20220609_segfg_merge_red_part2_1,AI_Group_1,罗佩瑶,Computer Vision,"Object, Detection",,hand,Image,BBox,COCO,,unknown,100,unknown,100,unknown,"X4(DLC4), GO3S(TC2), Ace(IAC1), AcePro(IAC2)",发送通知
CocoDet_Hand_20220609_segfg_merge_red_part2_2,/media/3_sdc/datasets/Insta360Det/CocoDet_Hand_20220609_segfg_merge_red_part2_2,AI_Group_1,罗佩瑶,Computer Vision,"Object, Detection",,hand,Image,BBox,COCO,,unknown,100,unknown,100,unknown,"X4(DLC4), GO3S(TC2), Ace(IAC1), AcePro(IAC2)",发送通知
CocoDet_Hand_20220609_segfg_merge_red_part3_1,/media/3_sdc/datasets/Insta360Det/CocoDet_Hand_20220609_segfg_merge_red_part3_1,AI_Group_1,罗佩瑶,Computer Vision,"Object, Detection",,hand,Image,BBox,COCO,,unknown,100,unknown,100,unknown,"X4(DLC4), GO3S(TC2), Ace(IAC1), AcePro(IAC2)",发送通知
CocoDet_Hand_20220609_segfg_merge_red_part3_2,/media/3_sdc/datasets/Insta360Det/CocoDet_Hand_20220609_segfg_merge_red_part3_2,AI_Group_1,罗佩瑶,Computer Vision,"Object, Detection",,hand,Image,BBox,COCO,,unknown,100,unknown,100,unknown,"X4(DLC4), GO3S(TC2), Ace(IAC1), AcePro(IAC2)",发送通知
CocoDet_Hand_20220610_complexbg_without_hand,/media/3_sdc/datasets/Insta360Det/CocoDet_Hand_20220610_complexbg_without_hand,AI_Group_1,罗佩瑶,Computer Vision,"Object, Detection",,hand,Image,BBox,COCO,,unknown,100,unknown,100,unknown,"X4(DLC4), GO3S(TC2), Ace(IAC1), AcePro(IAC2)",发送通知
CocoDet_Hand_20220610_red_clothes_with_hand,/media/3_sdc/datasets/Insta360Det/CocoDet_Hand_20220610_red_clothes_with_hand,AI_Group_1,罗佩瑶,Computer Vision,"Object, Detection",,hand,Image,BBox,COCO,,unknown,100,unknown,100,unknown,"X4(DLC4), GO3S(TC2), Ace(IAC1), AcePro(IAC2)",发送通知
CocoDet_Hand_20220610_red_clothes_without_hand,/media/3_sdc/datasets/Insta360Det/CocoDet_Hand_20220610_red_clothes_without_hand,AI_Group_1,罗佩瑶,Computer Vision,"Object, Detection",,hand,Image,BBox,COCO,,unknown,100,unknown,100,unknown,"X4(DLC4), GO3S(TC2), Ace(IAC1), AcePro(IAC2)",发送通知
CocoDet_Hand_20221027_go3_similarity,/media/3_sdc/datasets/Insta360Det/CocoDet_Hand_20221027_go3_similarity,AI_Group_1,罗佩瑶,Computer Vision,"Object, Detection",,hand,Image,BBox,COCO,,Insta360 Product Shooting,100,Annotated-by-R&D,100,GO3S(TC2),"X4(DLC4), GO3S(TC2), Ace(IAC1), AcePro(IAC2)",发送通知
CocoDet_Hand_20230113_IAC_gesture,/media/3_sdc/datasets/Insta360Det/CocoDet_Hand_20230113_IAC_gesture,AI_Group_1,罗佩瑶,Computer Vision,"Object, Detection",,hand,Image,BBox,COCO,,Insta360 Product Shooting,100,Annotated-by-R&D,100,Ace(IAC1),"X4(DLC4), GO3S(TC2), Ace(IAC1), AcePro(IAC2)",发送通知
CocoDet_Hand_20230211_scene_walkingsteet,/media/3_sdc/datasets/Insta360Det/CocoDet_Hand_20230211_scene_walkingsteet,AI_Group_1,罗佩瑶,Computer Vision,"Object, Detection",,hand,Image,BBox,COCO,,unknown,100,unknown,100,unknown,"Ace(IAC1), AcePro(IAC2), X4(DLC4), GO3S(TC2)",发送通知
CocoDet_Hand_20230218_scene_park,/media/3_sdc/datasets/Insta360Det/CocoDet_Hand_20230218_scene_park,AI_Group_1,罗佩瑶,Computer Vision,"Object, Detection",,hand,Image,BBox,COCO,,unknown,100,unknown,100,unknown,"Ace(IAC1), AcePro(IAC2), X4(DLC4), GO3S(TC2)",发送通知
CocoDet_Hand_20230220_iac_clothsbg,/media/3_sdc/datasets/Insta360Det/CocoDet_Hand_20230220_iac_clothsbg,AI_Group_1,罗佩瑶,Computer Vision,"Object, Detection",,hand,Image,BBox,COCO,,Insta360 Product Shooting,100,Annotated-by-R&D,100,Ace(IAC1),"X4(DLC4), GO3S(TC2), Ace(IAC1), AcePro(IAC2)",发送通知
CocoDet_Hand_20230224_scene_mall,/media/3_sdc/datasets/Insta360Det/CocoDet_Hand_20230224_scene_mall,AI_Group_1,罗佩瑶,Computer Vision,"Object, Detection",,hand,Image,BBox,COCO,,unknown,100,unknown,100,unknown,"Ace(IAC1), AcePro(IAC2), X4(DLC4), GO3S(TC2)",发送通知
CocoDet_Hand_20230224_scene_riding,/media/3_sdc/datasets/Insta360Det/CocoDet_Hand_20230224_scene_riding,AI_Group_1,罗佩瑶,Computer Vision,"Object, Detection",,hand,Image,BBox,COCO,,unknown,100,unknown,100,unknown,"Ace(IAC1), AcePro(IAC2), X4(DLC4), GO3S(TC2)",发送通知
CocoDet_Hand_20230224_scene_seaside,/media/3_sdc/datasets/Insta360Det/CocoDet_Hand_20230224_scene_seaside,AI_Group_1,罗佩瑶,Computer Vision,"Object, Detection",,hand,Image,BBox,COCO,,unknown,100,unknown,100,unknown,"Ace(IAC1), AcePro(IAC2), X4(DLC4), GO3S(TC2)",发送通知
CocoDet_Hand_20230303_dark,/media/3_sdc/datasets/Insta360Det/CocoDet_Hand_20230303_dark,AI_Group_1,罗佩瑶,Computer Vision,"Object, Detection",,hand,Image,BBox,COCO,,unknown,100,unknown,100,unknown,"Ace(IAC1), AcePro(IAC2), X4(DLC4), GO3S(TC2)",发送通知
CocoDet_Hand_20230403_warm,/media/3_sdc/datasets/Insta360Det/CocoDet_Hand_20230403_warm,AI_Group_1,罗佩瑶,Computer Vision,"Object, Detection",,hand,Image,BBox,COCO,,unknown,100,unknown,100,unknown,"Ace(IAC1), AcePro(IAC2), X4(DLC4), GO3S(TC2)",发送通知
CocoDet_Hand_20230508_slant,/media/3_sdc/datasets/Insta360Det/CocoDet_Hand_20230508_slant,AI_Group_1,罗佩瑶,Computer Vision,"Object, Detection",,hand,Image,BBox,COCO,,unknown,100,unknown,100,unknown,"Ace(IAC1), AcePro(IAC2), X4(DLC4), GO3S(TC2)",发送通知
CocoDet_Hand_20230515_yandex_tc1_similarity,/media/3_sdc/datasets/Insta360Det/CocoDet_Hand_20230515_yandex_tc1_similarity,AI_Group_1,罗佩瑶,Computer Vision,"Object, Detection",,hand,Image,BBox,COCO,,WebCrawler,100,Annotated-by-R&D,100,unknown,"Ace(IAC1), AcePro(IAC2), X4(DLC4), GO3S(TC2)",发送通知
CocoDet_Hand_20230602_gloves,/media/3_sdc/datasets/Insta360Det/CocoDet_Hand_20230602_gloves,AI_Group_1,罗佩瑶,Computer Vision,"Object, Detection",,hand,Image,BBox,COCO,,unknown,100,unknown,100,unknown,"Ace(IAC1), AcePro(IAC2), X4(DLC4), GO3S(TC2)",发送通知
CocoDet_Hand_20230609_good,/media/3_sdc/datasets/Insta360Det/CocoDet_Hand_20230609_good,AI_Group_1,罗佩瑶,Computer Vision,"Object, Detection",,hand,Image,BBox,COCO,,unknown,100,unknown,100,unknown,"Ace(IAC1), AcePro(IAC2), X4(DLC4), GO3S(TC2)",发送通知
CocoDet_Hand_20230617_dlcpano_walkingstreet,/media/3_sdc/datasets/Insta360Det/CocoDet_Hand_20230617_dlcpano_walkingstreet,AI_Group_1,罗佩瑶,Computer Vision,"Object, Detection",,hand,Image,BBox,COCO,,unknown,100,unknown,100,unknown,"Ace(IAC1), AcePro(IAC2), X4(DLC4), GO3S(TC2)",发送通知
CocoDet_Hand_20230620_iac_office_helmetgloves,/media/3_sdc/datasets/Insta360Det/CocoDet_Hand_20230620_iac_office_helmetgloves,AI_Group_1,罗佩瑶,Computer Vision,"Object, Detection",,hand,Image,BBox,COCO,,unknown,100,unknown,100,unknown,"Ace(IAC1), AcePro(IAC2), X4(DLC4), GO3S(TC2)",发送通知
CocoDet_Hand_20230620_iac_riding_helmetgloves,/media/3_sdc/datasets/Insta360Det/CocoDet_Hand_20230620_iac_riding_helmetgloves,AI_Group_1,罗佩瑶,Computer Vision,"Object, Detection",,hand,Image,BBox,COCO,,unknown,100,unknown,100,unknown,"Ace(IAC1), AcePro(IAC2), X4(DLC4), GO3S(TC2)",发送通知
CocoDet_Hand_20230728_iac_snow_helmetgloves,/media/3_sdc/datasets/Insta360Det/CocoDet_Hand_20230728_iac_snow_helmetgloves,AI_Group_1,罗佩瑶,Computer Vision,"Object, Detection",,hand,Image,BBox,COCO,,unknown,100,unknown,100,unknown,"Ace(IAC1), AcePro(IAC2), X4(DLC4), GO3S(TC2)",发送通知
CocoDet_Hand_20231024_dlc_project_dailylife,/media/3_sdc/datasets/Insta360Det/CocoDet_Hand_20231024_dlc_project_dailylife,AI_Group_1,罗佩瑶,Computer Vision,"Object, Detection",,hand,Image,BBox,COCO,,unknown,100,unknown,100,unknown,"Ace(IAC1), AcePro(IAC2), X4(DLC4), GO3S(TC2)",发送通知
CocoDet_Hand_20231102_dlc_project_riding,/media/3_sdc/datasets/Insta360Det/CocoDet_Hand_20231102_dlc_project_riding,AI_Group_1,罗佩瑶,Computer Vision,"Object, Detection",,hand,Image,BBox,COCO,,unknown,100,unknown,100,unknown,"Ace(IAC1), AcePro(IAC2), X4(DLC4), GO3S(TC2)",发送通知
CocoDet_Hand_20231109_dlc_project_snow,/media/3_sdc/datasets/Insta360Det/CocoDet_Hand_20231109_dlc_project_snow,AI_Group_1,罗佩瑶,Computer Vision,"Object, Detection",,hand,Image,BBox,COCO,,unknown,100,unknown,100,unknown,"Ace(IAC1), AcePro(IAC2), X4(DLC4), GO3S(TC2)",发送通知
CocoDet_Hand_20231122_iac_diving,/media/3_sdc/datasets/Insta360Det/CocoDet_Hand_20231122_iac_diving,AI_Group_1,罗佩瑶,Computer Vision,"Object, Detection",,hand,Image,BBox,COCO,,unknown,100,unknown,100,unknown,"Ace(IAC1), AcePro(IAC2), X4(DLC4), GO3S(TC2)",发送通知
